DCE_ID	Hits
>423-S-l	14
>424-S-l	15
>427-S-l	89
>428-A-l	113
>428-S-l	2
>429-A-l	4
>429-S-l	1
>430-A-l	60
>430-S-l	44
>431-A-r	15
>431-S-r	10
>432-A-l	39
>432-S-l	5165
>433-A-l	1
>433-S-l	37
>434-A-r	3
>434-S-r	30
>435-S-l	39
>437-S-l	21
>438-S-l	3
>439-S-l	4
>440-S-l	4
>441-S-l	2
>442-S-l	2
>443-S-l	8
>444-S-l	16
>445-S-l	2
>446-A-l	2
>448-A-r	152
>448-S-r	1
>451-A-l	19
>451-S-l	37
>453-S-l	3
>455-A-l	3
>455-S-l	1
>456-S-r	22
>457-S-r	263
>459-A-r	7
>459-S-r	1
>460-S-l	1
>461-A-l	1
>462-A-l	1
>462-S-l	7
>465-A-l	3
>465-S-l	12
>466-S-r	16
>467-A-l	1
>467-S-l	71
>468-A-r	1
>468-S-r	44
>470-A-r	38
>470-S-r	6
>473-A-l	42
>473-S-l	3
>474-S-l	135
>475-S-l	71
>477-S-r	2
>478-S-r	14
>479-S-l	1
>480-S-l	51
>481-A-r	11
>481-S-r	3
>482-A-l	19
>482-S-l	7
>483-A-l	99
>483-S-l	5
>484-A-l	9
>484-S-l	5
>485-A-l	71
>485-S-l	27
>486-S-r	39
>487-S-l	64
>488-A-l	2
>488-S-l	99
>490-A-l	2
>490-S-l	11
>491-S-l	1133
>492-A-r	2
>492-S-r	10
>495-S-l	6
>496-A-l	4
>496-S-l	59
>497-A-l	29
>498-A-l	986
>498-S-l	4
>499-A-r	165
>499-S-r	532
>500-A-r	3
>500-S-r	81
>501-A-l	2
>501-S-l	89
>502-A-r	1
>502-S-r	16
>504-A-l	3
>504-S-l	70
>505-A-l	61
>505-S-l	2
>506-S-l	1
>507-A-l	72
>508-A-l	13
>508-S-l	1
>509-S-l	98
>510-A-r	2
>510-S-r	3
>511-A-r	6
>511-S-r	62
>512-A-l	6
>512-S-l	51
>513-A-l	4
>513-S-l	1
>514-A-l	2
>514-S-l	9
>516-A-l	1
>516-S-l	41
>517-S-l	52
>518-S-l	56
>519-S-l	17
>520-A-l	68
>521-S-l	8
>523-A-l	65
>524-A-l	9
>524-S-l	5
>526-A-l	9
>526-S-l	4
>528-A-l	1
>528-S-l	24
>529-S-l	89
>530-S-r	8
>531-A-l	2
>531-S-l	45
>532-A-l	18
>532-S-l	5
>533-A-r	1
>533-S-r	44
>534-A-l	48
>534-S-l	572
>535-A-r	8
>535-S-l	136
>535-S-r	89
>536-A-l	2
>536-S-l	136
>537-S-l	12
>538-S-l	4
>539-S-l	2
>540-A-l	1
>541-A-l	1
>543-A-l	5
>543-S-l	1
>544-A-l	18
>544-S-l	13
>545-S-l	25
>546-S-l	59
>548-A-l	5
>549-A-l	2
>549-A-r	15
>549-S-l	44
>549-S-r	13
>551-A-l	25
>551-S-l	38
>552-A-l	15
>552-S-l	104
>555-A-l	1
>555-S-l	71
>556-S-l	69
>557-A-l	6
>557-S-l	23
>558-A-l	17
>558-S-l	25
>559-S-l	33
>560-A-l	1
>561-A-l	2
>561-S-l	16
>562-A-l	20
>564-A-l	3
>564-S-l	8
>565-S-l	45
>566-A-l	4
>566-S-l	74
>568-A-r	4
>568-S-r	61
>569-A-l	1
>569-S-l	20
>570-A-l	57
>570-S-l	20
>578-A-l	31
>578-S-l	4
>579-A-l	2
>579-S-l	108
>580-A-l	4
>580-S-l	268
>581-A-l	8
>581-S-l	912
>582-A-l	2
>582-S-l	912
>583-A-l	2
>583-S-l	202
>585-S-l	213
>586-A-l	9
>586-S-l	40
>586-S-r	27
>587-A-l	1
>587-S-l	60
>588-A-l	1
>588-S-l	10
>589-A-l	3
>589-S-l	27
>590-S-l	5
>591-S-l	6
>594-A-l	13
>595-S-l	3
>596-S-l	14
>597-A-l	1
>599-S-l	1
>601-A-l	130
>601-S-l	1
>603-S-r	10
>604-S-r	21
>605-S-l	15
>606-A-l	35
>607-A-l	192
>608-S-l	942
>613-A-l	93
>613-S-l	4
>617-A-r	5
>618-A-r	2
>618-S-r	10
>619-A-l	2
>619-S-l	46
>620-S-l	2
>622-S-l	83
>625-A-r	51
>625-S-r	2
>626-S-l	20
>627-A-l	106
>627-A-r	103
>627-S-l	1
>627-S-r	1
>628-A-l	4
>628-S-l	4
>629-A-l	2
>629-S-l	19
>632-A-l	1
>632-S-l	16
>633-S-l	54
>634-S-l	54
>635-A-l	2
>635-S-l	3
>636-A-l	2
>636-S-l	65
>637-S-l	1
>638-A-r	5
>638-S-r	16
>639-A-l	5
>639-S-l	16
>640-S-l	5
>641-A-l	1
>641-S-l	14
>642-A-l	2
>642-S-l	61
>642-S-r	37
>643-A-l	1
>643-S-l	52
>644-A-r	34
>644-S-r	34
>645-S-l	3
>646-S-l	10
>648-A-r	7
>648-S-r	7
>650-A-l	7
>650-S-l	1
>651-A-l	12
>651-S-l	1
>652-A-l	6
>655-A-r	6
>655-S-r	1
>657-S-l	51
>658-A-l	4
>658-S-l	86
>659-S-l	49
>660-A-l	1
>660-S-l	4
>661-S-r	31
>662-S-r	21
>663-A-l	52
>664-A-l	39
>664-S-l	5
>665-A-l	4
>665-S-l	5
>666-A-l	3
>666-S-l	92
>667-A-l	9
>667-S-l	29
>668-S-l	2
>670-A-l	10
>670-A-r	3
>670-S-r	29
>671-A-l	3
>671-S-l	24
>672-A-l	56
>673-A-l	14
>674-A-r	2
>674-S-r	52
>675-S-l	37
>676-A-l	21
>676-S-l	10
>677-S-r	403
>679-S-l	12
>681-A-l	2
>681-S-l	9
>682-S-l	48
>683-A-l	3
>683-S-l	10
>684-A-l	1
>684-S-l	13
>685-S-l	17
>686-A-l	16
>686-S-l	337
>687-S-l	22
>688-A-l	218
>688-S-l	6
>689-A-l	7
>689-S-l	105
>690-A-l	1
>690-S-l	16
>691-S-l	149
>692-A-l	1
>692-S-l	27
>693-A-l	14
>693-S-l	93
>694-S-l	27
>695-S-l	132
>696-A-r	2
>699-S-l	2
>700-S-l	37
>702-A-l	4
>702-S-l	74
>703-A-r	17
>703-S-r	73
>704-A-r	3
>704-S-r	21
>705-A-l	2
>705-S-l	40
>706-A-r	6
>707-S-l	1
>708-S-l	97
>713-A-l	18
>713-S-l	321
>714-A-l	27
>714-S-l	2
>715-S-l	3
>716-S-l	2
>717-S-l	73
>718-A-l	1
>718-S-l	7
>719-A-l	5
>719-A-r	4
>719-S-l	89
>719-S-r	160
>720-S-l	10
>721-A-l	124
>721-S-l	10
>722-A-r	18
>722-S-l	25
>722-S-r	19
>723-S-l	4
>724-S-l	33
>725-A-l	3
>725-S-l	2
>726-A-l	1
>726-S-l	6
>727-S-l	46
>728-S-l	64
>729-S-l	1
>730-S-l	4
>733-S-l	17
>734-A-r	5
>734-S-r	38
>735-A-l	5
>735-S-l	9
>736-A-r	5
>736-S-r	37
>737-S-l	1
>738-A-l	1
>738-S-l	10
>739-S-l	10
>740-A-l	25
>741-S-l	11
>743-A-r	14
>743-S-r	12
>744-S-l	4
>749-A-l	7
>750-A-r	10
>750-S-r	1
>752-A-l	9
>753-A-l	25
