DCE_ID	Hits
>719-A-r	4
>719-S-l	1
>719-S-r	103
>720-S-l	4
>721-A-l	1
>721-S-l	8
>722-A-r	17
>722-S-l	18
>722-S-r	1
>723-S-l	3
>724-S-l	1
>725-A-l	2
>725-S-l	2
>726-A-l	1
>726-S-l	5
>727-S-l	1
>728-S-l	1
>729-S-l	1
>730-S-l	3
>733-S-l	1
>734-A-r	5
>734-S-r	1
>735-A-l	1
>735-S-l	1
>736-S-r	17
>737-S-l	1
>738-A-l	1
>739-S-l	1
>740-A-l	8
>741-S-l	7
>743-A-r	1
>743-S-r	1
>744-S-l	2
>749-A-l	1
>750-A-r	1
>750-S-r	1
>752-A-l	3
>753-A-l	13
>753-S-l	2
>754-S-r	1
>755-S-l	1
>756-A-l	1
>756-A-r	4
>756-S-l	1
>756-S-r	2
>757-A-l	1
>757-S-l	1
>758-A-l	44
>758-S-l	2
>759-A-l	6
>760-S-l	2
>761-S-l	3
>762-S-l	10
>763-A-l	2
>763-S-l	10
>765-S-r	1
>772-S-l	2
>773-A-l	1
>773-S-l	2
>774-A-l	1
>774-S-l	4
>775-A-l	1
>775-S-l	1
>776-A-l	1
>776-S-l	3
>777-S-l	2
>779-A-l	1
>779-S-l	2
>780-S-l	63
>781-S-l	10
>782-A-l	3
>782-S-l	10
>783-A-l	23
>786-S-l	1
>788-A-r	1
>789-S-l	1
>791-A-r	1
>791-S-r	1
>792-A-l	1
>792-S-l	1
>793-S-r	1
>795-A-l	1
>795-S-l	1
>796-A-l	1
>796-S-l	1
>797-S-l	4
>798-S-l	1
>801-A-l	2
>802-A-l	16
>802-S-l	13
>803-S-l	16
>804-S-l	1
>805-S-l	1
>806-S-l	1
>807-A-l	1
>807-S-l	1
>808-S-l	2
>809-A-l	1
>809-S-l	1
>811-S-l	1
>812-A-r	1
>813-A-l	1
>813-S-l	4
>814-S-r	9
>815-S-l	1
>820-S-l	1
>821-A-l	1
>821-S-l	1
>822-S-l	41
>823-A-r	1
>823-S-r	3
>824-A-l	1
>824-S-l	6
>825-A-l	1
>825-S-l	1
>827-S-l	3
>828-A-r	3
>828-S-r	14
>829-S-l	3
>831-S-l	1
>833-A-r	1
>833-S-r	4
>834-A-l	2
>835-A-l	2
>835-S-l	21
>836-A-l	1
>836-S-l	46
>837-A-l	1
>837-S-l	2
>838-A-l	4
>838-S-l	2
>839-A-l	1
>841-S-l	1
>842-A-l	1
>842-S-l	8
>845-S-l	1
>845-S-r	1
>846-A-l	1
>847-A-l	25
>847-S-l	15
>848-A-r	1
>848-S-r	1
>849-A-l	1
>850-A-r	1
>851-S-l	1
>852-S-l	23
>853-S-l	22
>854-A-r	1
>854-S-r	1
>855-A-l	5
>855-S-l	8
>856-A-l	1
>856-S-l	1
>857-A-l	10
>858-A-l	1
>859-A-l	2
>859-S-l	13
>862-S-r	2
>865-A-l	1
>866-S-l	4
>867-S-l	1
>868-A-l	1
>868-S-l	1
>869-A-l	1
>869-A-r	4
>873-A-l	10
>875-A-r	1
>875-S-r	3
>876-A-l	1
>877-A-r	1
>878-S-l	1
>879-S-l	1
>880-S-l	1
>882-S-r	1
>883-A-l	1
>884-A-l	11
>884-S-l	37
>885-A-l	1
>886-S-l	2
>887-S-l	1
>888-S-l	2
>889-A-l	1
>889-A-r	1
>889-S-l	1
>889-S-r	1
>890-S-r	4
>891-A-l	1
>891-S-l	1
>893-A-l	2
>893-S-l	5
>894-S-l	3
>895-S-l	19
>896-A-l	2
>896-S-l	14
>897-A-l	2
>897-S-l	1
>898-A-l	1
>898-S-l	1
>899-A-r	2
>899-S-l	13
>900-A-l	2
>900-S-l	47
>901-S-r	1
>902-A-l	1
>902-S-l	2
>904-A-l	1
>904-S-l	1
>905-A-l	2
>905-S-l	1
>906-S-r	1
>908-A-l	1
>908-S-l	1
>909-A-l	17
>910-S-l	2
>911-S-l	1
>912-S-l	2
>915-A-l	1
>915-S-l	1
>921-S-l	1
>922-S-l	13
>923-A-l	3
>923-S-l	18
>924-S-l	1
>925-A-l	2
>925-S-l	1
>926-A-l	2
>926-S-l	12
>927-A-l	1
>927-S-l	2
>928-A-l	1
>928-S-l	1
>928-S-r	2
>929-A-l	1
>930-A-l	1
>930-S-l	1
>931-A-r	1
>934-S-l	26
>934-S-r	26
>935-A-l	5
>939-S-l	1
>940-A-l	8
>940-S-l	104
>942-S-l	39
>943-S-l	1
>944-A-l	2
>944-S-l	4
>945-A-l	1
>945-S-l	11
>946-S-l	12
>950-S-l	13
>951-A-l	1
>951-A-r	1
>951-S-r	2
>952-S-l	1
>953-A-l	3
>954-A-l	24
>954-S-l	5
>956-S-l	41
>958-A-r	1
>959-A-l	1
>959-S-l	1
>960-S-r	1
>961-A-l	2
>961-S-l	1
>962-A-l	1
>962-S-l	1
>964-A-l	1
>964-S-l	1
>965-A-l	1
>967-A-l	1
>967-S-l	29
>968-A-r	55
>969-A-l	4
>969-S-l	3
>970-A-l	1
>970-S-l	2
>971-A-l	2
>972-A-r	1
>972-S-r	2
>973-A-l	3
>973-S-l	4
>974-A-l	1
>974-S-l	3
>975-A-l	2
>975-S-l	1
>976-A-l	1
>976-S-l	36
>977-S-l	2
>978-A-l	3
>979-A-l	40
>979-S-l	1
>980-A-l	1
>980-S-l	1
>981-S-l	25
>982-S-l	11
>983-A-l	1
>983-S-l	1
>984-A-l	1
>984-S-l	1
>985-S-r	24
>986-A-l	22
>986-S-l	1
>989-A-l	1
>989-S-l	1
>990-S-l	1
>991-A-l	9
>992-S-l	1
>993-A-l	10
>993-S-l	6
>994-S-l	1
>994-S-r	1
>995-A-r	1
>995-S-r	1
>996-A-l	1
>996-S-l	1
>997-S-l	1
>998-A-l	3
>1002-A-l	1
>1002-S-l	21
>1003-A-l	2
>1005-S-l	1
>1007-S-l	18
>1009-S-l	3
>1010-S-l	1
>1011-A-l	1
>1011-S-l	1
>1013-S-r	1
>1014-S-l	1
>1015-S-l	1
>1016-S-l	1
>1017-A-l	1
>1017-A-r	1
>1017-S-r	1
>1018-A-l	13
>1018-S-l	1
>1019-A-l	3
>1019-S-l	8
>1020-S-l	86
>1021-S-r	7
>1022-A-l	5
>1023-A-l	1
>1023-S-l	1
>1025-A-l	1
>1025-S-l	5
>1027-S-r	1
>1029-A-l	1
>1030-A-r	2
>1030-S-r	1
>1033-A-l	3
>1033-S-l	1
>1038-A-l	1
>1038-S-l	1
>1039-A-l	6
>1039-A-r	2
>1039-S-l	10
>1039-S-r	16
>1040-A-l	1
>1042-S-l	2
>1043-A-l	12
>1043-S-l	1
>1044-A-l	9
>1044-S-l	41
>1045-A-l	2
>1045-S-l	2
>1046-A-l	1
>1046-S-l	1
>1047-A-l	1
>1047-S-l	17
>1048-S-l	1
>1049-S-r	1
>1050-S-l	1
>1051-S-l	1
>1053-A-l	2
>1053-S-l	1
>1054-A-l	1
>1054-S-l	2
>1055-A-l	1
>1057-S-l	23
>1058-A-l	10
>1059-S-l	2
>1060-S-l	4
>1061-A-l	1
>1062-A-l	1
>1063-A-l	1
>1063-S-l	1
>1064-A-l	1
>1065-A-l	12
>1069-S-r	7
>1070-A-l	2
>1070-S-l	3
>1071-S-l	1
>1073-A-l	1
>1073-S-l	1
>1074-A-l	1
>1074-S-l	1
>1075-A-r	1
>1075-S-r	2
>1076-A-r	1
>1076-S-r	1
>1077-A-l	1
>1077-S-l	1
>1078-S-l	2
>1079-A-l	1
>1079-S-l	1
>1080-A-l	1
>1080-S-l	1
>1081-A-l	1
>1081-S-l	1
>1082-A-l	2
>1082-S-l	2
>1083-A-r	16
>1083-S-r	1
>1084-S-l	1
>1086-A-r	3
>1086-S-r	14
>1090-S-l	7
>1091-A-l	3
>1096-S-l	2
>1097-A-l	2
>1097-S-l	1
>1099-A-l	1
>1101-A-l	1
>1101-S-l	7
>1102-S-r	1
>1103-S-l	3
>1104-A-l	1
>1104-S-l	2
>1105-A-l	6
>1107-S-l	2
>1108-A-l	2
>1109-A-l	60
>1109-S-l	10
>1111-A-l	2
>1111-S-l	1
>1113-S-r	1
>1114-A-l	4
>1114-S-l	12
>1117-S-l	46
>1118-A-l	48
>1119-A-l	1
>1120-A-l	1
>1120-S-l	55
>1121-A-r	1
>1121-S-r	2
>1122-A-l	1
>1122-S-l	19
>1126-A-l	2
>1127-S-l	1
>1128-A-l	2
>1128-S-l	1
>1129-S-l	8
>1130-A-l	7
>1130-S-l	3
>1131-A-l	1
>1131-S-l	8
>1132-S-r	4
>1133-S-l	4
>1134-A-l	1
>1134-S-l	1
>1135-S-l	1
>1136-S-l	2
>1137-S-l	1
>1138-A-r	1
>1138-S-r	3
>1139-A-l	1
>1139-S-l	1
>1140-S-l	1
>1141-A-l	1
>1141-S-l	1
>1142-S-l	1
>1152-A-l	1
>1152-A-r	3
>1154-A-l	3
>1154-A-r	1
>1155-A-r	1
>1155-S-r	1
>1156-A-l	24
>1156-S-l	18
>1157-A-l	11
>1157-S-l	1
>1158-S-l	3
>1159-A-l	2
>1159-S-l	2
>1160-S-l	2
>1161-S-l	2
>1162-S-l	2
>1163-A-l	1
>1163-S-l	2
>1164-A-r	1
>1164-S-r	1
>1165-A-l	1
>1165-S-l	11
>1166-A-l	1
>1166-S-l	8
>1169-S-r	16
>1170-S-l	19
>1170-S-r	9
>1171-A-l	2
>1172-A-l	1
>1173-A-l	1
>1173-S-l	1
>1174-S-l	16
>1175-S-l	10
>1176-A-l	5
>1176-S-l	1
>1177-A-l	3
>1177-S-l	1
>1178-S-l	4
>1179-A-l	1
>1179-S-l	3
>1182-A-l	1
>1182-S-l	1
>1183-S-l	1
>1184-S-l	1
>1185-A-r	1
>1185-S-r	1
>1186-S-l	1
>1187-A-l	7
>1187-S-l	1
>1188-A-r	59
>1189-S-l	5
>1190-A-l	17
>1190-S-l	11
>1191-S-l	6
>1192-A-l	29
>1192-A-r	58
>1192-S-l	21
>1192-S-r	2
>1193-A-r	5
>1193-S-r	1
>1194-S-l	1
>1195-A-l	2
>1195-S-l	3
>1196-S-l	28
>1197-A-l	2
>1197-S-l	2
>1198-S-r	6
>1199-A-l	2
>1200-S-l	15
>1201-A-l	1
>1201-S-l	1
>1202-A-l	1
>1202-S-l	2
>1203-A-l	3
>1204-S-l	34
>1205-A-l	1
>1205-S-l	37
>1206-A-l	1
>1206-S-l	3
>1207-A-l	1
>1207-S-l	1
>1213-S-r	4
>1214-A-r	1
>1215-S-l	44
>1216-A-r	1
>1216-S-r	1
>1217-A-l	13
>1218-A-l	10
>1221-A-l	1
>1222-S-l	22
>1223-S-l	13
>1224-A-l	1
>1224-S-l	1
>1225-A-r	1
>1225-S-r	2
>1226-A-l	1
>1226-S-l	1
>1227-A-l	1
>1229-S-l	1
>1230-A-l	34
>1231-S-l	36
>1232-A-l	1
>1232-A-r	8
>1232-S-l	46
>1232-S-r	1
>1233-A-l	1
>1233-S-l	5
>1235-S-l	4
>1236-A-l	1
>1236-S-l	1
>1237-A-l	1
>1238-A-l	2
>1239-S-l	4
>1240-A-l	2
>1240-S-l	9
>1241-S-l	9
>1242-A-r	1
>1242-S-r	1
>1243-A-l	1
>1243-S-r	2
>1244-A-l	1
>1244-S-l	2
>1245-S-l	9
>1245-S-r	6
>1247-S-l	2
>1252-A-l	44
>1253-A-l	19
>1254-A-l	9
>1254-S-l	2
>1255-A-l	1
>1255-S-l	3
>1258-A-r	8
>1259-A-l	1
>1259-S-l	45
>1260-S-l	2
>1261-A-l	2
>1261-S-l	3
>1262-S-l	1
>1263-A-l	1
>1263-S-l	1
>1265-S-l	1
>1266-A-l	6
>1266-S-l	6
>1267-S-l	1
>1268-A-l	2
>1268-S-l	1
>1269-S-l	1
>1270-A-l	4
>1271-A-l	2
>1271-S-l	39
>1272-A-l	5
>1272-A-r	1
>1273-A-l	3
>1273-S-l	6
>1274-S-l	1
>1276-S-l	1
>1277-S-l	1
>1279-A-l	2
>1280-A-r	1
>1280-S-r	1
>1281-A-l	2
>1282-S-l	2
>1283-A-l	1
>1283-S-l	1
>1284-A-l	1
>1284-S-l	4
>1285-A-l	7
>1285-S-l	2
>1286-S-l	1
>1287-A-r	1
>1288-A-l	5
>1288-S-l	9
>1289-A-r	2
>1290-A-l	1
>1290-S-l	4
>1291-A-l	1
>1292-A-r	1
>1292-S-r	1
>1293-S-l	1
>1294-S-l	1
>1295-A-l	1
>1296-S-l	23
>1298-S-l	1
>1299-A-l	6
>1299-S-l	1
>1300-A-r	1
>1300-S-r	1
>1301-A-l	2
>1301-S-l	20
>1302-A-l	1
>1303-S-l	1
>1304-A-r	1
>1304-S-r	1
>1305-S-l	1
>1306-A-l	1
>1306-S-l	2
>1308-S-l	4
>1309-S-l	8
>1310-A-l	41
>1311-S-l	2
>1314-A-l	1
>1314-S-l	1
>1315-A-r	1
>1315-S-r	1
>1316-A-r	9
>1316-S-r	16
>1317-S-l	1
>1318-A-r	1
>1318-S-l	1
>1318-S-r	1
>1320-A-l	1
>1320-S-l	1
>1321-S-l	1
>1322-S-l	1
>1324-A-r	1
>1324-S-r	1
>1325-A-r	1
>1325-S-r	1
>1326-A-l	1
>1327-A-l	1
>1328-A-l	1
>1328-S-l	1
>1329-S-l	2
>1330-A-l	4
>1330-S-l	1
>1331-S-l	1
>1332-A-l	2
>1332-S-l	1
>1334-A-r	2
>1335-S-l	1
>1336-A-l	1
>1336-S-l	1
>1337-A-r	2
>1337-S-r	1
>1338-A-l	1
>1338-S-l	2
>1339-S-l	35
>1340-A-l	12
>1340-S-l	8
>1341-A-l	1
>1342-A-l	1
>1342-S-l	1
>1343-A-r	1
>1343-S-l	1
>1343-S-r	1
>1346-S-l	6
>1347-S-r	1
>1349-A-l	9
>1349-S-l	1
>1350-S-l	1
>1351-S-r	2
>1352-S-l	1
>1353-A-l	3
>1354-A-l	1
>1354-S-l	1
